# Data from the National Nuclear Data Center
# '⁶Li(d,p)⁷Be' cross section
# https://www.nndc.bnl.gov/sigma/getSection.jsp?evalid=19790&mf=3&mt=50
# beam energy / eV,"σ / barns"
# actually not sure if this is )7Be or )4He + 3He
3.000000e+3,4.78300e-30
4.000000e+3,1.06710e-25
5.000000e+3,9.63230e-23
6.000000e+3,1.43680e-20
7.000000e+3,6.93570e-19
1.000000e+4,1.79370e-15
1.500000e+4,2.67960e-12
2.000000e+4,1.98460e-10
2.500000e+4,3.628900e-9
3.000000e+4,3.034000e-8
4.000000e+4,5.736800e-7
5.000000e+4,4.110300e-6
6.000000e+4,1.713400e-5
7.000000e+4,5.095300e-5
8.000000e+4,1.207500e-4
9.000000e+4,2.435700e-4
1.000000e+5,4.361900e-4
1.200000e+5,1.086200e-3
1.400000e+5,2.146000e-3
1.600000e+5,3.630500e-3
1.800000e+5,5.504500e-3
2.000000e+5,7.701300e-3
2.500000e+5,1.408300e-2
3.000000e+5,2.087900e-2
3.500000e+5,2.742000e-2
4.000000e+5,3.343100e-2
4.500000e+5,3.885400e-2
5.000000e+5,4.372000e-2
6.000000e+5,5.196900e-2
7.000000e+5,5.847800e-2
8.000000e+5,6.340700e-2
9.000000e+5,6.686100e-2
1.000000e+6,6.896100e-2
1.100000e+6,6.986500e-2
1.200000e+6,6.977300e-2
1.300000e+6,6.890200e-2
1.400000e+6,6.746800e-2
1.550000e+6,6.467000e-2
1.700000e+6,6.153200e-2
1.850000e+6,5.838700e-2
2.000000e+6,5.542900e-2
2.150000e+6,5.276200e-2
2.300000e+6,5.043700e-2
2.450000e+6,4.847700e-2
2.600000e+6,4.689600e-2
2.750000e+6,4.570600e-2
2.900000e+6,4.491700e-2
3.050000e+6,4.453000e-2
3.200000e+6,4.452800e-2
3.350000e+6,4.485600e-2
3.500000e+6,4.542200e-2
3.650000e+6,4.609200e-2
3.800000e+6,4.671900e-2
3.950000e+6,4.717500e-2
4.100000e+6,4.737600e-2
4.250000e+6,4.729400e-2
4.400000e+6,4.694500e-2
4.550000e+6,4.637600e-2
4.700000e+6,4.564100e-2
4.850000e+6,4.479300e-2
5.000000e+6,4.387800e-2
