# Data from the National Nuclear Data Center
# '6Li(d,p)7Li' cross section
# https://www.nndc.bnl.gov/sigma/getSection.jsp?evalid=19790&mf=3&mt=600
# beam energy / eV,"σ / barns"
3.000000e+3,4.03620e-30
4.000000e+3,9.00600e-26
5.000000e+3,8.12990e-23
6.000000e+3,1.21290e-20
7.000000e+3,5.85510e-19
1.000000e+4,1.51470e-15
1.500000e+4,2.26400e-12
2.000000e+4,1.67770e-10
2.500000e+4,3.069300e-9
3.000000e+4,2.567500e-8
4.000000e+4,4.860200e-7
5.000000e+4,3.486400e-6
6.000000e+4,1.455100e-5
7.000000e+4,4.332600e-5
8.000000e+4,1.028100e-4
9.000000e+4,2.076700e-4
1.000000e+5,3.724100e-4
1.200000e+5,9.301500e-4
1.400000e+5,1.843400e-3
1.600000e+5,3.129000e-3
1.800000e+5,4.760700e-3
2.000000e+5,6.685000e-3
2.500000e+5,1.234400e-2
3.000000e+5,1.848800e-2
3.500000e+5,2.453200e-2
4.000000e+5,3.021300e-2
4.500000e+5,3.545400e-2
5.000000e+5,4.025500e-2
6.000000e+5,4.861800e-2
7.000000e+5,5.544800e-2
8.000000e+5,6.082500e-2
9.000000e+5,6.481200e-2
1.000000e+6,6.750300e-2
1.100000e+6,6.903300e-2
1.200000e+6,6.957800e-2
1.300000e+6,6.933500e-2
1.400000e+6,6.849900e-2
1.550000e+6,6.651800e-2
1.700000e+6,6.408400e-2
1.850000e+6,6.152700e-2
2.000000e+6,5.905500e-2
2.150000e+6,5.678500e-2
2.300000e+6,5.478300e-2
2.450000e+6,5.308500e-2
2.600000e+6,5.171600e-2
2.750000e+6,5.069400e-2
2.900000e+6,5.003500e-2
3.050000e+6,4.974300e-2
3.200000e+6,4.980100e-2
3.350000e+6,5.015700e-2
3.500000e+6,5.071400e-2
3.650000e+6,5.134000e-2
3.800000e+6,5.189100e-2
3.950000e+6,5.224200e-2
4.100000e+6,5.231600e-2
4.250000e+6,5.209100e-2
4.400000e+6,5.159200e-2
4.550000e+6,5.086800e-2
4.700000e+6,4.998000e-2
4.850000e+6,4.898200e-2
5.000000e+6,4.792100e-2
