# Data from the National Nuclear Data Center
# 'h(h,2p)α' cross section
# https://www.nndc.bnl.gov/sigma/getInterpreted.jsp?evalid=19792&mf=3&mt=111
# beam energy / eV,"σ / barns"
6.000000e+3,4.85420e-36
8.000000e+3,5.28960e-31
1.000000e+4,1.41040e-27
1.200000e+4,4.68360e-25
1.400000e+4,4.21350e-23
1.600000e+4,1.56930e-21
1.800000e+4,3.11810e-20
2.000000e+4,3.88700e-19
2.500000e+4,5.25370e-17
3.000000e+4,1.93040e-15
3.500000e+4,3.13760e-14
4.000000e+4,2.94190e-13
4.500000e+4,1.86460e-12
5.000000e+4,8.84050e-12
6.000000e+4,1.07040e-10
7.000000e+4,7.34020e-10
8.000000e+4,3.432000e-9
9.000000e+4,1.222200e-8
1.000000e+5,3.557600e-8
1.200000e+5,1.962400e-7
1.400000e+5,7.301300e-7
1.600000e+5,2.084600e-6
1.800000e+5,4.931800e-6
2.000000e+5,1.015400e-5
2.200000e+5,1.880200e-5
2.400000e+5,3.203700e-5
2.600000e+5,5.107600e-5
2.800000e+5,7.713400e-5
3.000000e+5,1.113800e-4
3.500000e+5,2.396700e-4
4.000000e+5,4.393700e-4
4.500000e+5,7.190800e-4
5.000000e+5,1.082500e-3
5.500000e+5,1.529000e-3
6.000000e+5,2.055200e-3
7.000000e+5,3.322700e-3
8.000000e+5,4.829200e-3
9.000000e+5,6.517200e-3
1.000000e+6,8.337100e-3
1.100000e+6,1.025100e-2
1.200000e+6,1.223000e-2
1.300000e+6,1.425900e-2
1.400000e+6,1.632700e-2
1.500000e+6,1.843100e-2
1.600000e+6,2.057300e-2
1.700000e+6,2.275800e-2
1.800000e+6,2.499300e-2
1.900000e+6,2.728900e-2
2.000000e+6,2.965800e-2
2.500000e+6,3.888000e-2
3.000000e+6,4.825000e-2
3.500000e+6,5.643000e-2
4.000000e+6,6.404000e-2
4.500000e+6,7.047000e-2
5.000000e+6,7.602000e-2
5.500000e+6,8.029300e-2
6.000000e+6,8.355300e-2
6.500000e+6,8.666100e-2
7.000000e+6,8.961700e-2
7.500000e+6,9.242100e-2
8.000000e+6,9.507200e-2
8.500000e+6,9.757100e-2
9.000000e+6,9.991800e-2
9.500000e+6,1.021100e-1
1.000000e+7,1.041500e-1
1.100000e+7,1.077800e-1
1.200000e+7,1.108000e-1
1.300000e+7,1.132100e-1
1.400000e+7,1.150100e-1
1.500000e+7,1.162100e-1
1.600000e+7,1.167900e-1
1.700000e+7,1.167600e-1
1.800000e+7,1.161300e-1
1.900000e+7,1.148900e-1
2.000000e+7,1.130300e-1
