# Data from the National Nuclear Data Center
# 't(t,2n)α' cross section
# https://www.nndc.bnl.gov/sigma/getSection.jsp?evalid=15521&mf=3&mt=16
# beam energy / eV,"σ / barns"
5.000000e+2,3.09690e-31
1.000000e+3,9.21790e-22
2.000000e+3,3.76030e-15
4.000000e+3,1.44920e-10
6.000000e+3,1.411700e-8
8.000000e+3,2.065500e-7
1.000000e+4,1.254400e-6
1.200000e+4,4.665800e-6
1.400000e+4,1.278700e-5
1.600000e+4,2.854800e-5
1.800000e+4,5.511400e-5
2.000000e+4,9.557900e-5
4.000000e+4,1.653200e-3
6.000000e+4,5.240900e-3
8.000000e+4,9.884300e-3
1.000000e+5,1.476900e-2
1.200000e+5,1.946900e-2
1.400000e+5,2.380600e-2
1.600000e+5,2.773000e-2
1.800000e+5,3.125300e-2
2.000000e+5,3.440800e-2
2.200000e+5,3.724100e-2
2.400000e+5,3.979300e-2
2.600000e+5,4.210500e-2
2.800000e+5,4.421200e-2
3.000000e+5,4.614500e-2
3.500000e+5,5.037700e-2
4.000000e+5,5.398500e-2
4.500000e+5,5.718000e-2
5.000000e+5,6.010400e-2
5.500000e+5,6.285400e-2
6.000000e+5,6.549900e-2
7.000000e+5,7.065900e-2
8.000000e+5,7.583800e-2
9.000000e+5,8.117600e-2
1.000000e+6,8.674200e-2
1.100000e+6,9.255900e-2
1.200000e+6,9.861000e-2
1.300000e+6,1.048400e-1
1.400000e+6,1.111400e-1
1.500000e+6,1.173900e-1
1.600000e+6,1.233800e-1
1.700000e+6,1.289000e-1
1.800000e+6,1.337000e-1
1.900000e+6,1.375200e-1
2.000000e+6,1.401300e-1
2.100000e+6,1.413500e-1
2.200000e+6,1.410600e-1
2.300000e+6,1.392800e-1
2.400000e+6,1.360800e-1
2.500000e+6,1.316500e-1
3.000000e+6,9.965800e-2
3.500000e+6,6.897400e-2
4.000000e+6,5.307000e-2
5.000000e+6,3.700000e-2
7.000000e+6,2.573100e-2
1.000000e+7,1.921200e-2
1.500000e+7,1.783900e-2
2.000000e+7,1.718300e-2
