# Data from the National Nuclear Data Center
# h(t,pn)a cross section
# https://www.nndc.bnl.gov/sigma/getInterpreted.jsp?evalid=19787&mf=3&mt=50
# then reformatted using mathematica
#"beam energy / eV","σ/barns"
2.0e+3,2.71290e-31
4.0e+3,8.08190e-22
6.0e+3,1.15370e-17
8.0e+3,3.30250e-15
1.0e+4,1.52700e-13
1.2e+4,2.54270e-12
1.4e+4,2.23490e-11
1.6e+4,1.27700e-10
1.8e+4,5.37130e-10
2.0e+4,1.800600e-9
2.5e+4,1.876000e-8
3.0e+4,1.040000e-7
3.5e+4,3.888700e-7
4.0e+4,1.115700e-6
4.5e+4,2.652400e-6
5.0e+4,5.487500e-6
6.0e+4,1.748000e-5
7.0e+4,4.248800e-5
8.0e+4,8.613700e-5
9.0e+4,1.535600e-4
1.0e+5,2.489900e-4
1.2e+5,5.353400e-4
1.4e+5,9.578900e-4
1.6e+5,1.516000e-3
1.8e+5,2.200200e-3
2.0e+5,2.996500e-3
2.2e+5,3.889000e-3
2.4e+5,4.862000e-3
2.6e+5,5.900500e-3
2.8e+5,6.991100e-3
3.0e+5,8.122100e-3
3.5e+5,1.106300e-2
4.0e+5,1.407500e-2
4.5e+5,1.707700e-2
5.0e+5,2.001800e-2
5.5e+5,2.286500e-2
6.0e+5,2.559700e-2
7.0e+5,3.066600e-2
8.0e+5,3.517800e-2
9.0e+5,3.913100e-2
1.0e+6,4.254400e-2
1.1e+6,4.545000e-2
1.2e+6,4.789000e-2
1.3e+6,4.990700e-2
1.4e+6,5.154400e-2
1.5e+6,5.284800e-2
1.6e+6,5.386100e-2
1.7e+6,5.462300e-2
1.8e+6,5.517500e-2
1.9e+6,5.554900e-2
2.0e+6,5.577800e-2
2.1e+6,5.589000e-2
2.2e+6,5.591000e-2
2.3e+6,5.586100e-2
2.4e+6,5.576100e-2
2.5e+6,5.562900e-2
3.0e+6,5.498700e-2
3.5e+6,5.530900e-2
4.0e+6,5.598100e-2
4.5e+6,5.448600e-2
5.0e+6,5.337300e-2
6.0e+6,5.136600e-2
7.0e+6,4.963000e-2
8.0e+6,4.814200e-2
9.0e+6,4.687800e-2
1.0e+7,4.581500e-2
1.1e+7,4.492900e-2
1.2e+7,4.419700e-2
1.3e+7,4.359400e-2
1.4e+7,4.309800e-2
1.5e+7,4.268400e-2
1.6e+7,4.232900e-2
1.7e+7,4.201000e-2
1.8e+7,4.170200e-2
1.9e+7,4.138300e-2
2.0e+7,4.102800e-2
