# Data from the National Nuclear Data Center
# ³He(d,p)⁴He cross section
# https://www.nndc.bnl.gov/sigma/getInterpreted.jsp?evalid=19789&mf=3&mt=600
# then reformatted using mathematica
#"beam energy / eV","σ/barns"
100.,1.1231e-58
1000.,5.5988e-18
10000.,8.8216e-6
20000.,0.00027734
30000.,0.0011747
40000.,0.0026785000000000003
50000.,0.0046105
60000.,0.006805
70000.,0.0091418
80000.,0.011541
90000.,0.01395
100000.,0.016339
150000.,0.027495
200000.,0.037113
250000.,0.045358
300000.,0.052462999999999996
350000.,0.058617999999999996
400000.,0.06397
450000.,0.068635
500000.,0.07270900000000001
550000.,0.07627
600000.,0.079384
650000.,0.082107
700000.,0.08448800000000001
750000.,0.086567
800000.,0.088382
850000.,0.089963
900000.,0.091339
950000.,0.09253299999999999
1.e6,0.09356600000000001
1.1e6,0.095223
1.2e6,0.096667
1.3e6,0.098041
1.4e6,0.09932700000000001
1.5e6,0.10052000000000001
1.6e6,0.101534
1.7e6,0.10239680000000001
1.8e6,0.10315700000000001
1.9e6,0.1037877
2.e6,0.104246
2.1e6,0.1045501
2.2e6,0.1047226
2.3e6,0.104798
2.4e6,0.10480370000000001
2.5e6,0.10476200000000001
2.6e6,0.1046789
2.7e6,0.10454790000000001
2.8e6,0.1043696
2.9e6,0.10414490000000001
3.e6,0.10387500000000001
3.2e6,0.1032679
3.4e6,0.10261800000000001
3.6e6,0.10193010000000001
3.8e6,0.1012087
4.e6,0.100458
4.5e6,0.09856301
5.e6,0.09662100000000001
5.5e6,0.09467628
6.e6,0.09285399999999999
6.5e6,0.09114509999999999
7.e6,0.08947300000000001
7.5e6,0.08757754000000001
8.e6,0.08575200000000001
8.5e6,0.08430948
9.e6,0.083193
9.5e6,0.08265900000000001
1.e7,0.08255900000000001
